corridor_application_id,corridor_member_id,age,num_open_accounts,revolving_utilization
example,purpose,49,4,0.3814
specific,brother,37,0,0.8695
put,brother,30,2,0.0
grow,ago,25,4,0.209
brother,site,43,4,0.4156
finally,site,64,1,0.0
learn,face,63,8,0.3949
coach,election,38,2,0.9184
long,dog,36,7,0.451
about,dog,49,5,0.5107
seven,chair,32,2,0.086
type,since,47,9,0.2694
serve,blue,52,1,0.3381
everyone,blue,58,7,0.3545
month,require,42,7,0.8101
sound,require,41,2,0.6039
could,sit,33,8,0.1283
movement,sit,34,3,0.5152
while,wait,41,5,0.5869
born,wait,48,5,0.7698
truth,offer,54,4,0.8953
process,offer,34,6,0.1558
fire,begin,61,6,0.214
thought,performance,40,0,0.0867
purpose,performance,43,8,0.3783
movement_1,knowledge,35,0,0.5779
politics,almost,25,7,0.7263
decide,all,54,7,0.4234
claim,better,52,1,0.3539
hour,better,40,3,0.4882
sound_2,discover,44,1,0.2071
color,discover,49,3,0.99
notice,early,25,3,0.0
start,mouth,37,6,0.4976
win,mouth,53,8,0.99
nice,play,29,8,0.4469
why,play,47,2,0.3909
a,agreement,27,3,0.3432
place,agreement,49,0,0.3936
game,option,43,2,0.8361
middle,option,25,7,0.0
after,decide,57,9,0.8819
brother_3,sense,35,0,0.0393
woman,rate,34,2,0.369
him,rate,46,4,0.3227
unit,science,57,5,0.6127
theory,offer_1,31,2,0.0
surface,offer_1,44,5,0.5767
food,kind,48,3,0.99
education,kind,52,4,0.0566
article,discussion,45,6,0.499
effect,list,39,4,0.2564
unit_4,perform,34,3,0.5663
our,fall,44,4,0.4505
your,fall,31,4,0.2622
bar,table,25,3,0.584
bed,true,49,3,0.9591
sign,true,54,9,0.3906
mention,according,25,6,0.6501
team,song,32,3,0.0765
authority,sure,51,6,0.1725
soon,sure,64,3,0.5796
no,collection,44,7,0.8678
space,collection,35,5,0.5463
car,save,41,4,0.3558
career,save,60,5,0.4448
receive,knowledge_2,36,0,0.0888
may,knowledge_2,34,1,0.6172
your_5,grow,38,1,0.6964
often,grow,32,4,0.3162
company,fall_3,45,9,0.3111
evidence,fall_3,62,9,0.5207
news,clearly,47,6,0.3206
turn,clearly,40,5,0.4262
policy,dinner,40,0,0.99
land,dinner,25,2,0.3746
development,source,54,2,0.3429
woman_6,great,42,2,0.2605
notice_7,great,41,4,0.657
someone,blue_4,64,3,0.3934
show,blue_4,47,0,0.26
road,best,35,6,0.8214
deep,husband,38,1,0.8494
sell,husband,57,5,0.2739
forget,bill,45,9,0.0
inside,her,27,1,0.732
remain,throw,54,0,0.2499
rate,throw,36,3,0.6702
hour_8,guy,64,7,0.0
left,PM,56,9,0.6993
we,PM,38,0,0.0999
nation,everything,58,5,0.6532
live,surface,44,3,0.4491
camera,animal,53,4,0.1732
end,show,49,9,0.329
down,show,33,0,0.6405
attack,machine,36,5,0.4752
ground,machine,55,5,0.6115
against,not,39,7,0.99
per,capital,39,4,0.0
once,win,32,5,0.9057
drug,win,48,3,0.4747
per_9,human,64,5,0.1889
discussion,human,31,3,0.066
account,bar,44,6,0.3911
avoid,old,60,3,0.7076
second,finally,42,5,0.4087
program,finally,49,4,0.8755
artist,themselves,31,7,0.0316
drop,themselves,48,4,0.4416
author,production,41,0,0.0882
western,production,55,8,0.5486
almost,present,57,1,0.6977
trade,present,64,2,0.3251
give,value,50,2,0.0
avoid_10,value,47,8,0.5017
my,training,46,0,0.5694
economy,high,39,9,0.5602
family,high,47,7,0.7971
relationship,participant,40,5,0.1399
mention_11,dark,45,4,0.6388
difficult,dark,59,5,0.7847
notice_12,sea,32,5,0.0
cause,available,57,6,0.5361
several,available,59,6,0.3014
worry,answer,42,4,0.4218
us,answer,25,3,0.5441
own,recently,36,4,0.3062
part,drive,59,3,0.2525
material,spring,43,7,0.4547
eight,spring,32,6,0.1352
still,figure,37,0,0.1356
material_13,figure,53,6,0.6386
surface_14,base,50,5,0.1177
investment,base,41,4,0.6348
customer,top,39,3,0.5768
between,top,39,7,0.0
bill,early_5,33,7,0.252
reason,early_5,62,2,0.7852
lawyer,trial,40,5,0.1655
health,blood,58,1,0.3127
land_15,husband_6,61,0,0.5766
item,husband_6,55,2,0.6682
manage,fall_7,38,6,0.3733
treat,long,48,7,0.2748
shoulder,prove,43,5,0.8502
arm,they,33,6,0.9404
report,they,47,5,0.7239
ready,his,30,2,0.4693
race,commercial,57,5,0.2147
billion,commercial,38,6,0.2084
ask,hospital,46,6,0.5939
interesting,hear,47,7,0.5642
should,hear,40,6,0.8443
group,determine,50,5,0.6303
such,religious,38,7,0.0168
training,religious,54,4,0.7447
boy,example,28,1,0.1607
energy,example,45,4,0.3356
dark,science_8,64,2,0.5163
customer_16,write,32,2,0.99
not,write,35,4,0.99
list,result,49,2,0.6179
challenge,result,46,3,0.3928
knowledge,raise,48,0,0.5973
cover,raise,49,5,0.6979
family_17,away,51,4,0.3536
maintain,away,56,2,0.9565
enjoy,politics,48,6,0.5105
two,politics,41,7,0.5868
wind,prove_9,51,0,0.6347
bag,prove_9,64,2,0.5651
level,Congress,42,2,0.684
system,Congress,32,1,0.2691
training_18,none,56,6,0.2859
total,none,42,3,0.1316
oil,shoulder,25,3,0.5702
billion_19,election_10,53,0,0.6669
apply,common,37,6,0.5754
reach,common,42,0,0.9221
now,maintain,47,4,0.4434
think,maintain,46,5,0.6355
administration,hundred,52,8,0.134
better,expect,38,0,0.3347
with,wish,49,0,0.6432
some,push,40,5,0.6869
time,push,52,9,0.3612
economic,rise,51,8,0.4246
compare,onto,32,5,0.0126
investment_20,onto,56,3,0.3433
mention_21,discuss,37,6,0.6987
medical,discuss,53,1,0.6089
different,reveal,48,5,0.5876
treatment,garden,64,5,0.4592
institution,garden,41,7,0.447
weight,threat,39,9,0.2569
artist_22,threat,43,5,0.6441
community,special,40,3,0.5649
hundred,special,53,4,0.5852
able,stand,25,0,0.2951
in,stand,31,2,0.0
evidence_23,arrive,31,3,0.7576
with_24,drop,55,2,0.3086
step,term,63,4,0.1992
still_25,term,42,2,0.6426
look,almost_11,41,7,0.3333
feeling,almost_11,44,4,0.747
land_26,support,57,4,0.6208
same,four,33,3,0.6397
side,four,46,4,0.0558
step_27,institution,55,6,0.7903
only,executive,49,2,0.5194
recently,executive,46,2,0.3398
serious,attorney,55,3,0.4859
message,attorney,25,0,0.0
clear,development,51,2,0.5614
customer_28,white,36,3,0.1517
fine,yes,25,7,0.0596
director,our,49,5,0.0113
article_29,under,60,5,0.762
particularly,under,42,6,0.2657
simply,serious,55,4,0.882
occur,forward,62,5,0.2924
ask_30,forward,59,4,0.0
small,difference,63,5,0.1269
former,reality,52,2,0.7971
art,money,44,0,0.4006
apply_31,money,25,4,0.2888
pattern,individual,41,8,0.4906
me,usually,34,7,0.588
morning,who,64,7,0.7633
wide,question,41,8,0.8577
tonight,low,45,4,0.3425
nice_32,low,50,5,0.0672
coach_33,character,44,2,0.3272
art_34,character,63,3,0.5192
movie,evidence,36,6,0.1704
be,chair_12,46,7,0.1723
today,employee,35,4,0.5429
cultural,size,28,3,0.4311
authority_35,size,36,4,0.4543
physical,option_13,43,6,0.2289
author_36,option_13,38,0,0.3794
Republican,nothing,35,0,0.1817
training_37,nothing,27,2,0.6986
easy,everyone,42,0,0.7399
international,everyone,26,3,0.0
call,skin,52,4,0.1802
year,pattern,44,3,0.0186
voice,later,26,8,0.2598
over,water,40,5,0.4212
employee,water,35,5,0.032
particular,past,47,6,0.1824
phone,inside,59,1,0.159
among,inside,25,7,0.5041
president,high_14,45,4,0.4648
beat,high_14,42,6,0.2394
kind,discuss_15,51,1,0.4954
really,certainly,46,0,0.2893
past,Mr,35,6,0.3676
other,minute,40,5,0.9218
necessary,minute,34,1,0.8269
four,benefit,56,1,0.0747
worry_38,benefit,44,7,0.6814
every,someone,64,1,0.6762
democratic,anyone,43,9,0.1179
relationship_39,traditional,35,1,0.6783
sense,traditional,26,6,0.8832
former_40,break,25,3,0.1252
edge,claim,25,6,0.1836
evidence_41,claim,47,2,0.7349
individual,product,49,4,0.5223
catch,product,25,4,0.6021
remain_42,collection_16,54,1,0.542
quite,structure,38,6,0.5563
first,response,45,3,0.0671
lot,knowledge_17,62,3,0.7434
four_43,pick,54,1,0.7782
woman_44,pick,40,0,0.3796
society,attack,33,3,0.4326
would,attack,25,9,0.0088
baby,image,35,6,0.5915
act,image,41,4,0.608
low,I,32,3,0.4273
pretty,pick_18,42,4,0.7653
order,pick_18,44,6,0.3498
black,management,41,1,0.6059
back,newspaper,36,7,0.1545
note,enter,45,6,0.4383
different_45,on,49,6,0.3953
move,traditional_19,31,5,0.5092
evidence_46,yes_20,60,4,0.3397
cause_47,activity,42,6,0.4075
worker,activity,44,6,0.6803
happy,response_21,52,3,0.3206
upon,set,46,2,0.0
authority_48,set,55,4,0.9435
until,building,47,8,0.8386
election,building,36,0,0.0768
hope,rest,48,0,0.6415
feel,value_22,30,4,0.3017
coach_49,not_23,45,4,0.5201
left_50,social,43,4,0.5288
these,social,41,5,0.3782
